rlwrap ../../../../../tools/serial-io/serialdump -b115200 /dev/ttyUSB0
6696 576 130 174 
6696 576 127 173 
6696 577 125 171 
6696 578 126 171 
6695 578 125 170 
6694 579 124 167 
6694 579 120 166 
6695 578 121 164 
6694 578 120 161 
6693 577 119 160 
6694 576 120 158 
6694 576 119 157 
6695 576 115 157 
6694 576 118 155 
6694 576 117 154 
6694 576 116 150 
6694 576 113 148 
6694 576 111 145 
6694 576 111 145 
6694 576 107 140 
6694 576 111 142 
6692 576 107 141 
6694 575 110 142 
6694 574 109 141 
6694 574 107 139 
6691 572 107 139 
6692 572 106 138 
6691 570 106 138 
6692 571 106 138 
6691 572 105 136 
6692 572 104 134 
6692 572 106 134 
6692 572 103 132 
6691 572 101 132 
6691 574 102 131 
6691 574 103 131 
6692 575 101 131 
6692 576 102 130 
6692 576 101 129 
6691 576 102 129 
6691 577 100 128 
6691 577 100 131 
6690 578 117 130 
6690 578 101 130 
6691 576 99 129 
6690 576 100 125 
6690 576 115 125 
6690 576 100 125 
6690 576 117 129 
6688 576 97 125 
6688 576 116 127 
6690 576 117 127 
6688 576 115 128 
6690 576 100 125 
6689 576 116 125 
6687 576 117 126 
6686 576 100 124 
6688 575 100 128 
6687 574 117 128 
6687 575 116 126 
6686 574 101 127 
6686 574 118 130 
6686 574 117 129 
6686 574 102 129 
6685 572 118 128 
6684 572 117 128 
6682 572 116 127 
6682 571 99 128 
6682 570 101 130 
6681 570 102 129 
6682 570 117 129 
6682 570 100 130 
6682 572 116 127 
6682 572 100 129 
6681 572 102 127 
6683 572 116 126 
6682 572 116 127 
6682 573 99 128 
6682 574 100 128 
6682 572 116 129 
6682 573 116 128 
6681 574 117 130 
6680 574 101 130 
6680 574 118 130 
6680 574 101 129 
6679 574 103 131 
6678 574 102 129 
6679 574 101 129 
6678 574 99 128 
6678 574 101 130 
6678 575 101 129 
6678 576 101 130 
6679 576 102 131 
6679 576 102 129 
6678 576 102 129 
6678 578 102 129 
6678 578 102 131 
6678 578 103 131 
6678 578 103 130 
6678 580 103 130 
6679 580 103 131 
6678 580 103 132 
6678 580 103 132 
6677 579 105 133 
6678 580 103 133 
6678 580 105 134 
6677 580 105 136 
6675 580 105 136 
6674 582 106 137 
6674 585 107 138 
6673 588 107 137 
6674 588 108 139 
6672 589 108 138 
6671 590 109 141 
6669 590 108 139 
6668 590 112 142 
6668 590 112 141 
6668 590 109 143 
6667 590 107 138 
6667 588 107 139 
6666 588 106 139 
6665 587 105 140 
6665 586 107 139 
6667 587 107 140 
6666 588 107 140 
6666 587 108 139 
6668 588 108 141 
6668 586 108 141 
6668 586 108 142 
6668 588 107 142 
6668 588 107 138 
6670 590 108 142 
6669 588 109 142 
6670 590 108 143 
6669 590 108 142 
6671 590 107 139 
6671 590 107 142 
6670 590 108 142 
6672 590 108 143 
6671 588 113 148 
6672 588 112 148 
6671 588 114 149 
6671 586 113 149 
6670 586 114 149 
6671 586 115 149 
6671 586 115 149 
6670 586 115 149 
6671 586 114 150 
6670 586 115 149 
6671 586 115 149 
6670 586 112 147 
6670 586 114 150 
